cc_01 ,cc_02,cc_03 ,cc_04 ,cc_05 ,cc_06 ,cc_07 ,cc_08 ,cc_09 ,cc_10 ,cc_11 ,cc_12 ,cc_13 ,cc_14 ,cc_15 ,cc_16 ,cc_17 ,cc_18 ,cc_19 ,cc_20 ,cc_21 ,cc_22 ,cc_23 ,cc_24 
0.721882999,0.528561831,0.314404368,0.195092663,0.172854006,0.159268335,0.626270413,0.623296559,0.624187231,0.652664125,0.66355449,0.510859549,0.583211362,0.623904526,0.56082356,0.497602046,0.568708897,0.612016976,0.30621013,0.624527991,0.471036702,0.294323236,0.653558969,0.692147493
0.717651606,0.526658118,0.314069986,0.195127681,0.172876179,0.159282759,0.621617019,0.61898303,0.620228171,0.648375869,0.658794165,0.508974195,0.580204487,0.61979717,0.55816865,0.494958699,0.565330148,0.608246863,0.305675954,0.621283829,0.469376832,0.293801814,0.649163187,0.687528491
0.71320194,0.524614751,0.313688517,0.195139036,0.172893956,0.159294426,0.616754055,0.614484966,0.616081595,0.643879592,0.653826952,0.507001698,0.57705605,0.615516543,0.55540663,0.492210895,0.561819136,0.604317069,0.305076927,0.617879868,0.467614084,0.293235213,0.644562006,0.682710946
0.708377957,0.522381246,0.313252836,0.195137769,0.172904745,0.159295395,0.611479998,0.609602451,0.611583531,0.639008701,0.648441613,0.504849315,0.573612988,0.610839844,0.552388489,0.48917982,0.557982206,0.600016832,0.304412872,0.614181876,0.465665609,0.292598784,0.63953954,0.677477896
0.703710496,0.520192027,0.312813491,0.195130944,0.172919422,0.159304529,0.606400132,0.604904771,0.607241154,0.634316683,0.643275321,0.502770245,0.570315361,0.606361687,0.549502373,0.486302137,0.554335296,0.595916331,0.303741574,0.610596538,0.463782042,0.291987836,0.634709477,0.672427118
0.698699772,0.517798483,0.312310815,0.195102721,0.172929108,0.15930824,0.600954533,0.599882245,0.602582097,0.629291296,0.637760103,0.500540078,0.566781819,0.60156697,0.546421051,0.483225614,0.550436914,0.591543138,0.302980125,0.606733978,0.461744845,0.291315645,0.629532456,0.667017877
0.694156528,0.515625298,0.311867535,0.195094436,0.172943637,0.159320921,0.596019506,0.595320404,0.598352253,0.624728084,0.632755458,0.498506784,0.56357336,0.597225785,0.543624699,0.480448484,0.546927512,0.587573171,0.302297622,0.603236616,0.45989269,0.290717959,0.624835849,0.6620996
0.689683914,0.513461351,0.311405689,0.195080027,0.172959656,0.159349352,0.591208458,0.590867996,0.594212472,0.620280027,0.627881885,0.496502221,0.560456097,0.593004704,0.540912509,0.477762431,0.543552518,0.583719492,0.301605523,0.599801779,0.458056927,0.290136784,0.620244086,0.657266974
0.685530126,0.511450589,0.310995311,0.195079759,0.172978655,0.159361541,0.586691916,0.586686611,0.590334356,0.616099536,0.623318255,0.494629025,0.557508111,0.589033306,0.538345635,0.475231946,0.540371954,0.580091238,0.300961971,0.596588671,0.456347406,0.289590478,0.615937293,0.652757943
0.68184489,0.509645641,0.310653985,0.195103988,0.173005924,0.159371018,0.582670212,0.582953751,0.58687973,0.612352729,0.619240046,0.492960572,0.554863513,0.5855003,0.536048889,0.47300458,0.537572384,0.576843321,0.300377131,0.593733966,0.454824686,0.289113134,0.61209929,0.648738086
